age,website_visits,time_spent_on_website,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status,current_occupation_Student,current_occupation_Unemployed,first_interaction_Website,last_activity_Phone Activity,last_activity_Website Activity,age_group_26-35,age_group_36-45,age_group_46-55,age_group_55+,profile_completed_high,profile_completed_medium
57,7,1639,1,0,1,0,0,1,False,True,True,False,True,False,False,False,True,1,0
56,2,83,0,0,0,1,0,0,False,False,False,False,True,False,False,False,True,0,1
52,3,330,0,0,1,0,0,0,False,False,True,False,True,False,False,True,False,0,1
53,4,464,0,0,0,0,0,1,False,True,True,False,True,False,False,True,False,1,0
23,4,600,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,1,0
50,4,212,0,0,0,1,0,0,False,True,False,True,False,False,False,True,False,1,0
56,13,625,0,0,1,0,0,1,False,False,False,False,True,False,False,False,True,0,1
57,2,517,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,0,1
57,2,2231,0,0,1,0,0,1,False,False,False,True,False,False,False,False,True,1,0
59,1,1819,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,1,0
52,2,433,0,0,0,0,0,1,False,False,True,False,False,False,False,True,False,0,1
57,3,616,1,1,0,0,0,1,False,False,True,False,True,False,False,False,True,1,0
35,4,239,0,0,0,0,0,0,False,False,True,True,False,True,False,False,False,1,0
23,3,115,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,1,0
56,6,358,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True,1,0
62,5,1057,0,0,0,1,0,0,False,True,False,True,False,False,False,False,True,1,0
47,3,1419,0,0,1,0,1,1,False,False,True,False,False,False,False,True,False,1,0
35,7,926,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,0,1
39,2,97,0,0,0,0,0,0,False,True,True,False,False,False,True,False,False,0,1
36,4,399,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,0,1
20,1,362,0,0,0,1,0,0,True,False,False,False,False,False,False,False,False,1,0
60,3,56,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,1,0
58,1,271,1,0,0,0,0,0,False,True,True,False,True,False,False,False,True,1,0
32,5,352,0,0,1,1,0,0,False,True,True,False,False,True,False,False,False,0,1
49,5,2293,0,0,0,0,0,1,False,False,False,False,False,False,False,True,False,1,0
46,4,1842,0,0,0,1,0,1,False,False,True,False,False,False,False,True,False,0,1
46,2,211,1,1,0,0,0,0,False,True,True,True,False,False,False,True,False,0,1
45,1,1631,0,0,1,0,0,0,False,False,False,False,True,False,True,False,False,0,1
44,4,299,0,0,0,1,0,0,False,True,False,False,False,False,True,False,False,0,0
42,2,62,0,0,0,0,0,0,False,True,True,False,False,False,True,False,False,1,0
36,2,1,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,1,0
55,13,1055,0,0,1,1,0,1,False,True,True,False,False,False,False,True,False,0,1
58,12,1151,0,0,0,1,0,0,False,False,False,True,False,False,False,False,True,1,0
56,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True,0,1
55,2,552,0,0,0,0,0,1,False,False,True,False,False,False,False,True,False,1,0
46,2,85,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,0,1
59,1,298,0,0,0,0,0,0,False,False,True,True,False,False,False,False,True,0,1
59,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,True,1,0
39,4,44,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,0,1
38,2,301,1,0,0,0,0,0,False,False,True,False,False,False,True,False,False,0,1
57,3,439,0,0,0,0,0,0,False,True,True,False,False,False,False,False,True,1,0
38,2,102,0,0,0,0,0,0,False,True,True,True,False,False,True,False,False,0,1
44,6,42,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,1,0
57,3,292,0,1,0,0,0,0,False,False,False,False,False,False,False,False,True,0,1
56,2,1,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True,1,0
18,2,87,0,0,0,0,0,0,True,False,True,True,False,False,False,False,False,1,0
60,5,2284,0,0,0,0,0,1,False,False,True,False,False,False,False,False,True,1,0
35,2,497,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,0,1
40,7,1278,0,0,0,1,0,0,False,True,True,False,False,False,True,False,False,0,1
44,1,419,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False,0,1
19,7,354,0,0,1,0,0,0,True,False,False,False,True,False,False,False,False,1,0
56,8,718,0,0,0,0,0,1,False,False,False,False,False,False,False,False,True,1,0
56,1,582,0,0,0,0,1,1,False,False,True,False,False,False,False,False,True,1,0
46,1,1283,0,0,0,1,0,1,False,False,True,False,True,False,False,True,False,1,0
28,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,1,0
21,3,524,0,0,0,1,0,1,True,False,True,False,True,False,False,False,False,0,1
49,6,1557,1,0,0,1,0,1,False,False,True,False,True,False,False,True,False,1,0
57,2,1608,0,0,0,0,0,1,False,True,True,False,False,False,False,False,True,0,1
53,2,408,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,1,0
35,2,641,1,0,0,0,0,1,False,False,True,False,False,True,False,False,False,1,0
